CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
402,40,1,246.9049205777063,3,0,0,135201.22934732062,1,1,0
735,55,1,168544.33200863187,2,0,0,74001.6057891231,0,1,1
570,29,2,101221.0297814667,4,0,0,124112.1209125077,1,0,1
406,42,6,92281.12676770335,1,0,1,114833.93583716519,1,1,0
371,71,8,47735.82137487622,4,1,0,81340.71238770711,0,1,1
320,74,7,89465.00822232732,4,1,0,45832.37350528392,1,1,0
421,37,8,190085.4299260275,4,1,0,93087.5193859805,1,1,1
766,66,5,42157.52679087674,4,1,0,143249.3945279554,0,0,1
514,66,0,35808.24769015247,2,1,0,44150.420143560754,0,1,0
630,59,3,48379.26081188959,2,0,0,53281.617877205004,0,0,0
758,24,5,110366.83886745329,1,0,1,149090.70932118245,1,0,0
387,46,5,186059.96308665996,3,0,0,136034.22672360466,0,1,1
672,65,7,114776.31815305151,3,0,1,91441.4804999706,1,1,0
399,46,0,48696.49532116418,4,0,1,110316.35441993296,1,0,0
430,30,10,88090.46306425241,4,1,1,77598.10308897118,0,0,0
608,20,1,78080.02635714915,2,0,0,72532.04795415819,0,1,1
643,19,1,9313.893972487453,3,1,1,77614.3803162078,0,1,0
791,33,5,102128.36970581171,1,1,1,73874.1519112533,0,1,0
713,47,10,25201.277326734762,4,1,0,107822.1514982921,1,1,1
685,55,6,168448.80841677502,2,0,0,62959.36134301361,1,0,0
491,23,1,109792.58185917935,4,0,1,42200.932822989795,1,0,0
576,62,4,168921.29652347518,4,0,1,111853.78065133933,0,0,0
460,24,5,191208.93747560823,2,1,1,24068.678515973646,0,1,0
759,22,3,188637.6581500553,3,1,0,113437.93535914262,1,0,0
613,73,0,20085.86686151075,3,0,0,54221.680414294904,0,0,1
321,24,2,188963.41431000142,4,1,0,44732.874572434186,1,1,0
552,51,9,159149.44155790203,3,1,1,69264.36721013818,0,0,0
774,49,8,155531.6210521582,2,1,0,35274.99492119701,0,0,0
358,66,5,18025.70805363508,3,0,0,69983.65119309846,0,1,1
810,30,1,35902.94045671982,4,1,0,33301.823879373005,0,0,0
775,47,8,195032.6759829537,4,0,1,82853.53531142388,1,0,0
489,42,3,42674.03143105888,2,0,0,42902.067423039945,0,1,1
543,38,10,33810.66603348013,4,1,1,36899.55607909491,1,1,0
804,77,7,72470.32374189358,3,1,1,95284.25188262605,0,0,1
430,76,9,182671.23950697805,2,1,0,101281.85655858618,0,1,1
784,38,6,95238.69271131112,4,0,0,20717.280311240076,1,1,1
320,45,10,184116.7438178173,2,0,0,70398.06470517244,0,0,1
466,65,2,66867.75608304713,2,1,1,30134.291705621792,1,0,0
573,75,7,45305.729045399865,3,1,1,116023.77991958788,0,0,0
687,37,3,99040.60177020711,3,0,1,108597.98084033198,0,1,0
615,51,1,123095.37805237771,1,1,1,26464.787295718044,1,0,0
313,22,10,78299.79972271122,2,0,0,142362.57674727554,0,1,0
541,35,4,69206.10191890635,3,1,0,144794.84572160942,1,1,0
645,77,0,43611.85695464933,4,1,1,63507.31178650958,0,1,0
639,56,7,55001.353244354286,1,1,1,36979.64099670932,0,1,0
