CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
372,45,1,283.9406586643622,3,0,0,140201.22934732062,0,1,0
705,60,1,193825.98180992663,2,0,0,79001.6057891231,0,1,1
540,34,2,116404.1842486867,4,0,0,129112.1209125077,0,1,1
376,47,6,106123.29578285886,1,0,1,119833.9358371652,1,0,0
341,76,8,54896.19458110765,4,1,0,86340.71238770711,1,0,1
300,79,7,102884.75945567641,4,1,0,50832.37350528392,1,0,0
391,42,8,218598.2444149316,4,1,0,98087.5193859805,0,1,1
736,71,5,48481.15580950825,4,1,0,148249.3945279554,1,0,1
484,71,0,41179.48484367534,2,1,0,49150.420143560754,1,0,0
600,64,3,55636.14993367302,2,0,0,58281.61787720501,1,0,0
728,29,5,126921.86469757126,1,0,0,154090.70932118245,1,0,0
357,51,5,213968.95754965898,3,0,0,141034.22672360466,1,0,1
642,70,7,131992.76587600922,3,0,1,96441.4804999706,1,0,0
369,51,0,56000.9696193388,4,0,0,115316.35441993296,0,1,0
400,35,10,101304.03252389027,4,1,0,82598.10308897118,1,0,0
578,25,1,89792.03031072151,2,0,0,77532.04795415819,0,1,1
613,24,1,10710.97806836057,3,1,1,82614.3803162078,0,1,0
761,38,5,117447.62516168348,1,1,1,78874.1519112533,0,1,0
683,52,10,28981.468925744968,4,1,0,112822.1514982921,0,1,1
655,60,6,193716.12967929125,2,0,0,67959.36134301362,0,1,0
461,28,1,126261.46913805626,4,0,1,47200.9328229898,0,1,0
546,67,4,194259.49100199644,4,0,0,116853.78065133932,0,1,0
430,29,5,219890.27809694948,2,1,0,29068.678515973646,1,0,0
729,27,3,216933.30687256358,3,1,0,118437.93535914262,0,1,0
583,78,0,23098.74689073736,3,0,0,59221.6804142949,1,0,1
300,29,2,217307.92645650165,4,1,0,49732.874572434186,0,1,0
522,56,9,183021.85779158733,3,1,0,74264.36721013818,1,0,0
744,54,8,178861.36420998193,2,1,0,40274.99492119701,1,0,0
328,71,5,20729.56426168034,3,0,0,74983.65119309846,1,0,1
780,35,1,41288.38152522779,4,1,0,38301.823879373005,1,0,0
745,52,8,224287.57738039672,4,0,1,87853.53531142388,0,1,0
459,47,3,49075.13614571771,2,0,0,47902.067423039945,1,0,1
513,43,10,38882.26593850214,4,1,0,41899.55607909491,1,0,0
774,82,7,83340.8723031776,3,1,1,100284.25188262603,1,0,1
400,81,9,210071.92543302473,2,1,0,106281.85655858618,1,0,1
754,43,6,109524.49661800778,4,0,0,25717.28031124008,0,1,1
300,50,10,211734.25539048988,2,0,0,75398.06470517244,1,0,1
436,70,2,76897.9194955042,2,1,0,35134.29170562179,0,1,0
543,80,7,52101.58840220984,3,1,1,121023.77991958788,1,0,0
657,42,3,113896.69203573819,3,0,1,113597.98084033198,0,1,0
585,56,1,141559.68476023438,1,1,0,31464.787295718044,1,0,0
300,27,10,90044.76968111789,2,0,0,147362.57674727554,0,1,0
511,40,4,79587.0172067423,3,1,0,149794.84572160942,0,1,0
615,82,0,50153.63549784673,4,1,1,68507.31178650958,1,0,0
609,61,7,63251.556231007424,1,1,0,41979.64099670932,1,0,0
361,65,7,154817.13152502917,1,0,1,39864.62145215798,1,0,0
636,79,2,85070.91388114591,4,1,1,134293.66897701606,0,1,0
724,79,0,18344.11959583655,3,1,0,84691.17558256596,0,1,0
697,33,3,31775.739689082962,2,0,0,26236.097281409904,1,0,0
778,76,8,85647.21332995546,1,0,0,145295.7712430553,1,0,1
304,39,8,212635.55886500824,4,0,0,102055.8523824382,1,0,1
475,70,0,87176.96017857546,4,0,1,114751.60842866349,1,0,0
350,67,10,13947.677813885311,4,0,1,132062.01185903995,1,0,0
657,44,6,96138.67931240365,4,0,0,131415.23108330715,1,0,0
300,59,5,153828.04661083812,1,0,0,34854.63342764415,1,0,1
659,42,6,136527.1110380908,2,0,0,99618.99809397932,1,0,0
375,70,6,64124.681348786915,3,1,0,115511.80161953373,1,0,0
746,82,7,158260.45230119964,4,1,0,36130.656916051616,1,0,0
671,76,7,145043.60598902643,4,1,0,53912.11793573889,1,0,1
431,76,9,39599.78283066277,2,1,1,76455.87960715305,0,1,0
471,70,10,37293.350820696345,2,0,1,140248.2582203183,0,1,0
539,70,1,125852.10887562636,3,0,0,135582.34185032564,0,1,0
540,68,3,151670.86905670387,1,0,0,126673.39018521908,1,0,0
725,28,3,221239.43451785992,2,0,1,153735.97251942748,0,1,0
731,56,10,97044.04506830934,1,0,0,56545.364707130095,0,1,0
521,36,9,175936.02512454006,1,1,0,85815.92530608393,1,0,1
565,70,7,26799.771877016567,4,1,0,83073.9916038601,1,0,0
607,45,2,204610.0762825988,1,0,1,113261.86373576013,1,0,0
322,84,2,145614.73452173316,4,1,0,135519.92725713993,1,0,0
486,42,1,144676.97621078687,4,0,1,88918.75818630436,1,0,0
457,35,0,32761.80578146016,3,0,1,88899.1331018766,1,0,0
649,69,7,9104.257790956526,1,1,0,104081.315670803,1,0,0
762,66,8,161333.30173646248,2,1,0,121521.6917880064,1,0,0
310,63,8,26922.985561854915,2,0,1,51169.10211170348,0,1,0
426,54,10,29203.134381304524,2,1,1,150041.74157155654,1,0,0
300,48,7,43125.03365980654,3,0,1,36966.95248139542,0,1,0
334,72,4,22481.69112210856,4,0,0,28003.009522655728,0,1,1
790,75,0,143840.27969897055,4,1,0,71642.88291442371,1,0,1
613,36,8,97061.10534517524,2,0,1,116186.54186880264,0,1,0
398,74,5,61202.101254196095,4,0,0,152149.74534367683,1,0,0
741,79,6,101372.36208546262,4,1,0,146258.85926003073,1,0,1
332,58,7,194152.20047499595,3,0,1,114503.36814812035,1,0,0
408,30,4,213228.26316003632,1,0,0,81750.94354554234,1,0,0
768,62,5,112119.51327029156,1,1,0,102454.2324334816,1,0,0
661,44,6,130353.17047594453,3,1,0,150925.44798234222,0,1,0
688,44,6,59155.983978170756,3,1,0,59515.13860177314,1,0,1
558,38,1,118128.08708653743,4,0,0,87176.49317274772,1,0,1
648,49,10,172067.5095951034,3,0,1,115077.21979324358,1,0,0
759,78,0,113191.57064091899,4,1,0,26338.85467655232,1,0,1
500,82,7,69476.76718150903,1,1,1,74563.98423809676,0,1,0
310,83,4,133867.89986174056,3,0,0,98828.5860445482,0,1,1
300,82,9,217730.88710374426,4,1,0,142119.3763113811,0,1,1
404,32,1,204236.2864161157,1,0,1,153959.6960080227,0,1,0
470,47,2,176925.74721035492,1,0,0,97322.17280960146,1,0,0
302,53,5,63528.215512998075,2,1,1,147795.4373710312,1,0,0
317,43,9,55558.68665977232,1,0,1,37904.516971290104,0,1,0
772,49,5,192863.55365344748,3,1,1,116165.2072464811,1,0,0
676,39,7,41703.01949888354,3,0,1,77072.06738010832,1,0,0
368,55,4,139290.60072192803,4,0,0,122626.54948334202,0,1,0
816,53,4,100953.88702408175,3,0,0,137804.06082380205,0,1,0
731,72,6,107636.88747725158,1,1,0,31984.157018662023,1,0,0
300,64,9,104544.98258133438,4,0,1,146611.56067541632,1,0,0
487,48,4,206988.53374644183,1,0,0,33860.3050308829,1,0,0
772,43,8,20031.67770595464,2,1,0,122941.78842500986,0,1,0
667,58,5,180067.33337490266,4,1,1,33979.06858678826,1,0,0
662,23,6,192052.91446231515,2,0,0,137018.68168927557,0,1,0
476,26,7,216861.74384530267,4,1,0,51647.59172292099,0,1,0
300,26,4,104097.98963567358,3,0,1,81429.1430565391,1,0,0
730,48,10,115014.99413399081,1,0,0,146240.71788012184,0,1,1
510,26,3,221097.73986241073,4,0,0,127968.75273471698,0,1,0
365,71,7,105443.74401830748,3,0,0,127150.78224940364,0,1,0
754,31,9,115816.1487845393,3,0,0,124232.9087319104,0,1,0
676,52,8,76418.49318355831,3,0,0,99026.56168221784,1,0,1
500,73,0,7274.3136574694745,2,1,1,148685.90589827413,1,0,0
440,67,2,99602.54690514329,3,0,0,133112.64447726234,0,1,1
810,26,3,150671.00149489875,4,0,0,82237.4526477004,0,1,0
305,27,6,158687.55944111815,2,1,0,121532.272924802,0,1,0
794,83,5,1496.988783460186,1,0,0,154753.97160318296,1,0,0
429,67,9,184242.13819775058,3,0,0,138230.06070080597,0,1,0
512,45,9,113255.59124956581,4,0,1,25158.988880482284,1,0,0
355,38,10,119771.43311882435,4,0,1,120925.20371411712,0,1,0
300,44,0,221201.04827918447,2,1,1,141724.616396391,0,1,0
609,59,3,65426.06649083811,1,0,0,67607.83870129159,1,0,1
600,30,5,175179.95746267846,2,1,0,152073.94128364435,1,0,0
775,70,2,132198.5365046223,3,1,0,77168.91753258601,0,1,0
617,84,1,161183.64615834883,1,1,0,79753.00076073493,1,0,0
742,55,1,96098.01390965858,1,0,1,45913.37205824209,1,0,0
500,77,9,64217.733961781734,1,0,1,37557.295613312854,1,0,0
459,82,3,125608.9690448549,2,1,0,94757.441036038,1,0,1
494,60,0,86236.46366110879,4,1,1,103360.8175860936,1,0,0
654,65,9,51269.571130822704,2,0,1,72696.54719588198,1,0,0
646,38,1,193024.31406616536,4,0,0,103859.22267597726,0,1,0
552,27,9,109441.26685029698,2,0,0,76307.21082999918,1,0,0
528,38,1,194882.62047390686,4,0,0,137864.04800319936,1,0,0
628,29,3,109027.26394485166,4,0,0,148997.00877599698,0,1,0
725,73,3,128063.47047385383,1,1,1,102160.29222029184,0,1,0
680,23,0,228914.45550220957,4,1,1,134495.68279094406,0,1,0
587,31,6,218845.96876808675,3,1,0,135986.39483315,1,0,0
494,40,6,62488.670253384844,3,0,1,117789.1497377854,1,0,0
503,67,9,199790.738883321,4,1,0,49960.245594200285,1,0,0
643,80,10,89792.80125035443,4,0,1,45141.95067875674,0,1,0
741,69,9,16387.209719390332,4,1,0,144532.95166581054,1,0,0
502,25,9,132429.6334098421,4,0,1,59457.97009013648,1,0,0
382,46,0,224721.9276744741,1,1,0,57023.01014353668,0,1,1
766,50,10,224092.14801121558,3,1,0,46596.73592845744,1,0,0
711,32,7,29087.036977367647,1,0,0,93569.02619839607,1,0,0
537,31,9,177384.43332210544,3,0,0,113009.67350289656,1,0,0
779,35,6,184651.6001775477,4,1,0,112900.99107210842,1,0,0
655,70,6,84811.30039283179,3,1,0,58936.85095485427,1,0,0
656,57,10,151476.89167334838,3,0,0,37322.1038204531,0,1,0
382,76,5,112276.68000376098,2,0,1,65327.23451195183,1,0,1
350,45,3,52415.41247328315,2,0,0,90446.52180144217,0,1,0
382,69,10,175090.7846817471,4,1,0,104617.19940277022,0,1,0
300,39,7,60433.12279685501,1,1,1,60178.04752838805,0,1,0
489,68,1,78302.9831995816,2,0,1,48810.59348704922,1,0,0
494,29,6,43704.23313055604,4,1,0,134404.84172534203,1,0,0
654,74,2,165432.39987140195,1,0,1,136530.37112580455,0,1,0
672,38,2,105506.53238103326,2,1,0,61394.31688965625,0,1,0
399,75,6,101975.84861295464,3,0,0,97814.66992808266,1,0,0
322,62,2,139049.45938470287,2,0,0,82177.44007891163,1,0,1
685,58,4,36170.59286688758,4,1,0,43455.7364119221,1,0,0
516,42,7,206575.39461392464,2,0,1,147276.20968196105,1,0,0
708,46,3,106975.0599342641,2,0,0,26271.781653198585,1,0,0
472,69,6,84301.17749686686,1,1,1,49384.928140773016,0,1,0
453,27,6,29138.840048194263,1,1,0,69923.43981814155,1,0,1
392,67,1,38629.46700450528,3,1,0,136339.96317373466,0,1,0
670,28,7,211682.87220018782,4,1,0,127524.97585318582,1,0,1
563,50,9,105021.91768193612,3,0,0,100384.92839360842,0,1,0
549,81,9,166102.30145262997,3,0,0,115352.72419152576,1,0,0
467,84,8,18518.76111146263,2,0,0,69318.50766889405,1,0,1
780,27,5,147996.84514909127,3,0,1,147270.40100843465,1,0,0
413,71,4,211949.41423760686,1,0,0,28482.34751284737,0,1,1
470,61,0,68991.59370274295,3,1,0,38120.72795662511,1,0,0
393,60,0,133202.315164091,4,1,0,145321.99819431445,0,1,0
456,24,8,216250.3939926456,3,0,0,147856.71142107324,0,1,0
595,65,3,165444.18737508563,4,1,0,88774.23048380687,0,1,0
733,61,0,14334.865548337777,4,1,0,99939.9021029128,1,0,1
618,76,10,87109.54386990094,3,1,1,142329.92115813342,1,0,1
672,43,9,19727.73390007633,3,1,0,135946.46601161314,1,0,0
615,62,2,198103.04712581003,3,1,0,137053.74438106557,1,0,0
780,59,5,142982.42127683153,4,0,0,73332.12824233083,1,0,0
416,81,10,219967.8013117937,1,1,0,132971.21894206104,1,0,1
417,40,10,4543.9557127356475,2,0,0,34010.37814744484,0,1,0
758,76,7,97310.09506639796,3,0,1,88305.38170285776,0,1,0
607,70,9,24003.742895210788,2,0,0,55862.90206068498,1,0,0
742,68,1,80612.19920257993,3,0,0,29653.71204618746,1,0,1
420,34,7,37233.969372015,4,0,0,105237.41157795096,1,0,1
684,39,0,75622.56479848664,4,1,1,34903.38608511642,1,0,0
567,59,10,188430.26108606666,2,0,1,40620.700734495105,0,1,0
532,68,1,36960.84509102182,1,0,0,35626.86182400227,0,1,1
413,60,7,108942.89409900327,4,0,0,151756.18183549173,1,0,1
615,37,6,211964.12083392104,2,1,0,30101.029692532087,0,1,0
300,29,4,229719.23620649046,4,1,0,60068.339135703085,0,1,0
573,36,9,57647.45718026915,3,1,0,109759.8023250204,1,0,0
523,72,1,215180.67927620304,2,1,0,132039.81772075157,0,1,1
722,23,8,60119.39658423587,2,0,1,104066.45815862749,1,0,0
306,60,4,95111.55476622646,3,0,0,151945.22832603217,1,0,0
429,25,7,201922.4308136653,2,0,0,68902.06714637997,1,0,0
300,59,3,180820.50413257707,3,0,1,86360.71399476685,0,1,0
502,66,8,197222.1381614591,1,0,1,131769.18666956632,0,1,1
368,53,9,184059.03624002365,3,1,1,113620.6610795856,1,0,0
477,65,6,54064.0311523095,1,0,0,52828.71820555272,0,1,0
400,35,1,128522.87654903847,2,1,0,89826.8062154644,0,1,0
673,70,2,88607.66522324203,3,0,0,151874.71117695043,0,1,1
421,40,1,105733.52274312476,2,1,1,137193.0128366467,0,1,0
323,39,4,35409.94948843507,1,1,0,49934.44168399679,0,1,0
389,39,1,72626.53862178921,4,1,0,48372.16669362082,1,0,0
689,83,4,197258.83792710298,4,0,0,132691.28725812098,0,1,0
691,33,8,206438.4342738177,4,1,0,50856.28518587456,0,1,0
373,42,1,140335.20929680186,4,0,0,83862.6211077536,1,0,0
523,32,8,114601.46911017313,4,0,1,48498.62243022079,1,0,0
496,51,6,163953.12827433908,1,1,0,26906.17206445171,0,1,0
381,70,6,140036.2475511065,4,1,0,138802.47399734764,0,1,0
779,56,4,226245.25145999712,4,1,0,126270.57748263824,1,0,0
742,39,7,43720.42219776675,2,1,0,86176.49580756873,1,0,0
368,76,6,103280.28703669076,3,0,0,45745.27000224417,1,0,0
422,84,5,211195.31552567735,3,0,1,129834.30206682536,1,0,0
607,74,1,210389.52377896055,3,0,1,71717.74587105503,0,1,0
432,64,5,113929.77470906991,3,1,0,111053.39095004994,1,0,1
430,35,1,31006.070460317736,1,1,1,66170.27767966154,0,1,0
667,66,0,187440.33252336757,3,1,1,81197.32364274644,1,0,0
546,69,8,134587.99289576994,2,1,0,94611.33780497774,1,0,0
773,61,4,177828.18364716903,1,0,0,124062.11545249863,1,0,1
661,49,9,106380.43522443573,4,0,0,133168.91642498755,0,1,0
404,76,9,46893.30204547011,2,0,0,82661.07709114879,0,1,0
464,75,3,5517.56372028979,2,1,0,55295.21720501384,1,0,0
670,48,10,128601.80183314299,4,1,0,44974.41270214301,1,0,1
302,50,7,37040.6211427656,4,1,0,69297.22326293969,1,0,0
729,35,4,43041.55797749893,2,1,1,129231.85320197255,0,1,0
739,34,6,100350.29512014778,1,1,1,60617.63729049367,0,1,0
644,66,2,101677.72689094648,4,0,1,31177.59559911533,1,0,0
300,50,7,63109.03074731221,3,1,0,98355.89131183983,0,1,0
307,24,7,30342.10793739774,2,0,1,29369.771489418992,1,0,0
499,59,2,217339.13291913763,2,1,0,140040.26830234803,1,0,0
634,79,8,30277.34165199978,4,0,0,113147.86233999868,1,0,1
707,79,7,80677.69445825978,4,1,1,58389.89641174756,1,0,1
552,56,0,70119.63829971263,3,1,0,85981.89553681001,1,0,1
300,45,7,199257.7163004669,3,0,0,121098.18786727553,0,1,0
495,80,10,94314.3631500712,3,1,0,144038.8983624344,1,0,1
546,84,3,28530.004823903786,3,1,0,138678.989024472,0,1,1
553,74,5,2360.0365330339387,2,1,1,34039.09763834109,1,0,0
750,67,9,166048.4087991407,4,0,0,35548.369135789035,0,1,0
722,51,8,164335.25129060555,1,1,1,102704.08170858223,1,0,0
785,57,4,96090.24440204236,4,1,1,89544.48895226898,0,1,0
816,33,6,29050.840071834427,4,1,0,63081.819568277846,0,1,0
461,70,0,85475.77689173199,3,1,0,151902.50159512326,1,0,0
318,55,8,135672.96371091707,3,1,0,122014.71911087909,0,1,0
781,73,5,161906.87661557342,2,0,0,114351.26829060756,1,0,1
300,33,10,17995.175259883523,3,0,0,48572.86006092094,1,0,0
441,31,3,127950.71824137615,2,0,0,61911.015397199095,0,1,0
489,36,5,63508.53804307164,4,0,0,103652.4289343656,1,0,0
427,31,4,141971.24604073778,4,1,0,128427.5403675523,0,1,0
746,61,2,149072.22825889496,4,1,0,146037.84543355726,0,1,0
315,70,6,209438.85140818523,2,0,0,115704.49438024238,1,0,0
642,25,2,94387.02633946078,2,0,0,79422.81690749002,1,0,0
787,51,1,123645.85183112301,2,0,1,114840.12320134236,0,1,0
368,41,3,61689.47823491713,3,0,0,33992.794248110935,1,0,1
306,58,6,65908.11555337929,1,0,0,103010.7647521157,1,0,0
549,54,4,10587.769759113376,3,1,0,141301.23294512703,1,0,0
618,29,8,65795.85672865645,1,0,0,107803.04696587849,0,1,0
766,77,9,14680.598605851315,3,1,0,25980.235348519403,1,0,0
571,50,6,221700.63183474084,4,1,1,115287.48620456064,1,0,0
450,66,8,143580.54413650403,2,0,0,119437.73702232503,1,0,0
368,84,8,39824.16907284763,3,1,0,95359.7898850095,1,0,0
385,40,1,26856.262758677076,2,1,0,131091.4697889284,1,0,0
460,82,0,85128.20270983498,3,1,0,51297.86460262013,0,1,0
522,27,10,70758.88466233351,4,1,1,78167.25213347774,1,0,0
430,45,3,64228.599610324185,2,0,1,129986.1824913036,0,1,0
525,77,3,107685.09033413486,4,1,1,103479.6744346021,0,1,0
592,44,1,209960.98388458657,1,1,0,154267.4822332027,1,0,1
397,48,2,130651.55851269682,2,0,0,34004.363285292755,0,1,0
300,64,2,119883.24605492239,3,0,1,56760.4467361697,1,0,0
592,34,4,185506.1400870433,2,0,1,50886.29582350512,1,0,0
557,62,0,925.6606672845069,1,1,1,151930.9892160864,0,1,0
424,41,8,45398.7039057037,1,0,1,138004.14528594946,1,0,0
